Дата первой транзакции;Номер когорты;Порядковый месяц транзакции;Дата транзакции;id Клиента;№ операции;Сумма;Тариф;Год;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34;Unnamed: 35;Unnamed: 36;Unnamed: 37;Unnamed: 38;Unnamed: 39;Unnamed: 40;Продукт 1;Продукт 2;Продукт 3;Продукт 4;Продукт 5;Продукт 6;Продукт 7;Продукт 8;Продукт 9;Продукт 10;Продукт 11;Продукт 12;Продукт 13;Продукт 14;Продукт 15;Продукт 16;Продукт 17
;;;16.11.2019;376;y211hfes11f11abr8s;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;16.11.2019;560;r67saey11r8fas1y;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;17.11.2019;119;y103htra4r5hdy7y;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;17.11.2019;575;y16tass7t1ady12h;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;18.11.2019;524;s97rybd2a7erf7d;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;18.11.2019;963;s62daff3s6sty1a;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;19.11.2019;109;b102sbrr6t5rsy8r;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;19.11.2019;383;b712abrs4b4tfh11s;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;19.11.2019;710;d111bsys5e8shr5d;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;19.11.2019;889;s29syaa12t12hds3a;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;19.11.2019;951;e1111hbet8t7rya9f;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;20.11.2019;164;y79aars2s6ahf8s;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;20.11.2019;497;d110dsdr7f1hsh6b;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;21.11.2019;132;e212sahr4y9bst1t;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;21.11.2019;305;y29sysf10e9hhr6s;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;21.11.2019;350;d114tsys5f7dsh4a;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;21.11.2019;675;b95raay4s7eba9a;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;21.11.2019;767;e109beys9b10aht4r;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;21.11.2019;812;s55shss4f11yhs6b;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;22.11.2019;127;f27sabr2f5fda12f;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;22.11.2019;180;d75tbss8e4das11b;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;22.11.2019;232;s47tarh8s5ddf2s;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;22.11.2019;363;r33dsab9r10rsd3r;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;22.11.2019;520;a33aafd6f9yfa9f;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;22.11.2019;538;b911sats10y8dse10a;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;22.11.2019;579;s312sbbb12a2ahs11a;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;22.11.2019;933;t512yrta5f1ths2t;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;22.11.2019;975;b1211adbe12h4syh5e;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;23.11.2019;81;y106hrsa10e12ssd2a;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;23.11.2019;295;t66taft1d8dys10d;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;23.11.2019;296;s310sttd8a2bdf9s;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;23.11.2019;587;b14taah1t4yhf4b;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;24.11.2019;225;d59rtss10r9rat5d;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;24.11.2019;445;h111seya8h2hbs3t;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;24.11.2019;455;d67eaft4a12eye10b;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;24.11.2019;839;e56bsft9a10bst7a;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;24.11.2019;876;d812reea12f10tff4t;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;25.11.2019;134;t1212yfse4y11afa7h;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;25.11.2019;163;h311rrds11y11raf1d;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;25.11.2019;849;y38fthh8d10yys12s;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;25.11.2019;981;r86fsra12h8sys4a;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;26.11.2019;76;b911btbd11y9shr4a;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;26.11.2019;246;d410bhab12a7tes3t;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;26.11.2019;270;f106ssbt6y5ysr4a;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;26.11.2019;433;r211dyba11f12sbe5t;0;trial;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;26.11.2019;908;r11ashh1f7hds3t;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;27.11.2019;353;t56tssb8d8rda4b;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;27.11.2019;370;a43yaas4f11ytr5d;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;27.11.2019;523;r83yfss8a10sby1s;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;27.11.2019;854;y610ehds9a1yhs8d;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;28.11.2019;33;f125rfra5a8feb3t;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;28.11.2019;475;b22syyh11t9yse11s;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;28.11.2019;571;a1010safh4s9bhs10f;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;28.11.2019;610;y66tara6t3fab9r;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;28.11.2019;653;y51sdrf11a4teb5a;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;28.11.2019;667;f611taaf7a2sat5h;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;28.11.2019;805;r36eyrs6t12bss11a;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;28.11.2019;874;b67edrs3f3tbd4s;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;29.11.2019;52;d52htty2t5arr2a;0;trial;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;29.11.2019;56;t96byye2t1tty12s;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;29.11.2019;597;s83esye2d9fss12d;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;29.11.2019;825;r107date2b9ffr11y;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;29.11.2019;828;a77frah9y5aes9d;0;trial;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;29.11.2019;881;b111dhta4a6ysy9f;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;30.11.2019;861;t73fhae11f9ssa2a;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;01.12.2019;266;s55dtat7y5rha8s;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;01.12.2019;528;s21dded7f8brs12h;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;01.12.2019;791;b68hbah1t2sat3t;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;02.12.2019;59;e114sdfa6a5edh3s;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;02.12.2019;123;e11ehsr11f7ahf8b;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;02.12.2019;129;y112aary3a6bfb2r;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;02.12.2019;187;b511rdhy6y7tfr9d;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;02.12.2019;336;f68hsad11s5ftr5b;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;02.12.2019;444;e812tyby12y2art5y;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;02.12.2019;659;a1110aayr1d6hry8s;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;03.12.2019;11;s75stbb4s8rah5d;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;03.12.2019;802;y63bdaf7a12dhy12s;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;04.12.2019;16;y111ftas11d8ssr2s;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;04.12.2019;23;r28ttaf5a2rss6y;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;04.12.2019;57;s125sats3b4tff2h;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;04.12.2019;471;t35bsrd12f8dfb6y;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;04.12.2019;623;d11rfst2b10she12s;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;05.12.2019;436;r85fydh12s10tad11s;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;05.12.2019;574;r1210adst5t7bth2r;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;05.12.2019;662;y1112bfey11f6ybs11s;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;05.12.2019;836;f210rstf12d7tts7d;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;06.12.2019;380;s124esrf3t5tad11s;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;06.12.2019;691;d125rffd12y10drr3h;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;06.12.2019;866;f128ffyh10a2tft5a;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;06.12.2019;884;f1012sbae9s1sbb4d;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;06.12.2019;924;r118rede11e11rea6a;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;07.12.2019;304;h24aatf5y6ase5t;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;07.12.2019;537;a95bedd6s4bbs6e;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;08.12.2019;281;a118ahsa12y1heh11h;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;08.12.2019;288;b810tsba12b11fas5s;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;08.12.2019;360;d115ahaa10d4afs1b;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;08.12.2019;529;t57sabb1y10aea6a;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;08.12.2019;568;f1011rtes12y8ste4y;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;08.12.2019;900;s17sbsh5y5hse1t;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;09.12.2019;51;a42arsf10s6fdd9e;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;09.12.2019;824;r127esha6r7bra11s;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;09.12.2019;883;t310ssdb3h5fsh4b;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;10.12.2019;38;t101shfa2h1fda6e;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;10.12.2019;128;y111eeea3e11ess3h;0;trial;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;10.12.2019;642;s39hdry9y12sae8a;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;10.12.2019;658;b115ahhd5a1ysa4s;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;11.12.2019;648;h68ssds1t1ffy9a;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;11.12.2019;879;r84aeae1s5sst10y;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;12.12.2019;17;e41sebf12b11fys8a;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;12.12.2019;277;e117hdff5d6das8a;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;12.12.2019;292;s49aash7s1aas12s;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;12.12.2019;309;f78yred10a9yys9f;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;12.12.2019;650;s104arfd11e8tea2b;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;12.12.2019;795;s19raab12h4sss4y;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;13.12.2019;334;r99esyh7h2ybr2y;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;13.12.2019;723;h19yytd4t12tds12a;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;13.12.2019;61;a16ehta3h8str2r;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;13.12.2019;729;b75rrrt7f12hde10r;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;13.12.2019;980;a710faaa9a5dbs2a;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;14.12.2019;583;t117yass6a6ysa3e;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;14.12.2019;596;d73ayhe4e10ffs9e;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;14.12.2019;620;a85eerb12f12yrs6a;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;14.12.2019;153;r1110hyss1s11tbh11s;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;14.12.2019;746;t127erbr5s12hsr2b;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;15.12.2019;171;e19ssay2t5frh12d;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;15.12.2019;209;e83hsds3t8fsa9h;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;15.12.2019;393;h310taha6r11hrf10e;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;15.12.2019;409;a25fesd11y1ses1s;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;15.12.2019;500;s53sarb3a3aba7d;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;15.12.2019;833;y68drfs2f1frh4a;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;15.12.2019;929;b112etdt10e9saf5r;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;15.12.2019;30;s49reat11e5ath4e;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;15.12.2019;117;d125rffd12y10drr3h;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;15.12.2019;184;y14ratr1y7hed5y;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;15.12.2019;549;r11ashh1f7hds3t;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;16.12.2019;29;t101aday12e10eat11f;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;16.12.2019;299;a912hyte5t5rff7h;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;16.12.2019;743;a82adyt9a5frs2s;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;16.12.2019;752;h1011daaa5s11yts10f;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;16.12.2019;823;h510assa5a9sre5a;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;16.12.2019;944;t13drhh12s5rds3y;199;standard;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;16.12.2019;48;a310taae11s4ffh11s;399;family;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;16.12.2019;102;y25dssb7t9bba11s;499;premium;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
